Raw_Reference;PMID
Enoch, S.J., Ellison, C.M., Schultz, T.W. and Cronin, M.T.D. 2011. A review of the electrophilic reaction chemistry involved on covalent protein binding relevant to toxicity. Crit. Rev. Toxicol. 41: 783–802.;21809939
Freidig, A.P. and Hermens, J.L.M. 2001. Narcosis and chemical reactivity QSARs for acute toxicity. Quant. Struct. Act. Rel. 19: 547-553.;NOT_FOUND
Gerberick, F., Aleksic, M., Basketter, D., Casati, S., Karlberg, A.T., Kern, P., Kimber, I., Lepoittevin, J.P., Natsch, A., Ovigne, J.M., Rovida, C., Sakaguchi, H. and Schultz, T. 2008. Chemical reactivity measurement and the predictive identification of skin sensitisers. Altern. Lab. Anim.36: 215-242.;18522487
Gerberick, G.F., Ryan, C.A., Kern, P.S., Schlatter, H., Dearman, R.J., Kimber, I., Patlewicz,G.Y. and Basketter, D.A. 2005. Compilation of historical lymph node data for evaluation of skin sensitisation alternative methods. Dermatitis 16: 157-202.;16536334
Gerberick, G.F., Troutman, J.A., Foertsch, L.M., Vassallo, J.D., Quijano, M., Dobson, R.L.M., Goebel, C. and Lepoittevin, J-P 2009. Investigation of peptide reactivity of pro-hapten skin sensitizers using a peroxidase-peroxide oxidation system. Toxicol. Sci. 112: 164-174.;19748994
Groux, H., and Sabatier, J.M. 2010. Polypeptides for the in vitro assessment of the sensitising potential of a test compound. International Application Patent No.: PCT/EP2010/055895.;NOT_FOUND
Guy, R.H. 2009. Predicting the rate and extent of fragrance chemical absorption into and through the skin. Chem. Res. Toxicol. 23: 864-870.;20392076
Hill, A.B. 1965. The environmental and diseases: Association or causation? Proceed. Roy. Soc. Med. 58: 295-300.;14283879
Hooyberghs, J., Schoeters, E., Lambrechts, N., Nelissen, I., Witters, H., Schoeters, G. and Van Den Heuvel, R. 2008. A cell-based in vitro alternative to identify skin sensitizers by gene expression. Toxicol. Appl. Pharmacol. 231: 103-111.;18466943
Hopkins, J.E., Naisbitt, D.J., Kitteringham, N.R., Dearman, R.J., Kimber, I. and Park, B.K. 2005. Selective haptenation of cellular or extracellular proteins by chemical allergens: Association with cytokine polarization. Chem. Res. Toxicol. 18: 375-381.;15720145
Jacobs, A. 1997. Understanding Organic Reaction Mechanisms, Cambridge University Press: Cambridge, United Kingdom. p 304.;NOT_FOUND
Jowsey, I.R., Basketter, D.A., Westmoreland, C., Kimber, I., 2006. A future approach to measuring relative skin sensitising potency: A proposal. J. Appl. Toxicol. 26: 341-350.;16773645
Karlberg, A.-T., Bergström, M.A. Börje, A. Luthman, K. and Nilsson, J.L. 2008. Allergic contact dermatitis- formation, structural requirements, and reactivity of skin sensitizers. Chem. Res. Toxicol. 21: 53-69.;18052130
Kassie, F. and Knasmuller, S. 2000. Genotoxic effects of allyl isothiocyanate (AITC) and phenethyl isothiocyanate (PEITC). Chem.-Biol. Interact. 127: 163-180.;10936231
Kato, H., Okamoto, M., Yamashita K., Nakamura Y., Fukumori, Y., Nakai, K. and Kaneko H. 2003. Peptide-binding assessment using mass spectrometry as a new screening method for skin sensitization. J. Toxicol. Sci. 28: 19-24.;12696181
Kern, P.S., Gerberick, G.F., Ryan, C.A., Kimber, I., Aptula, A. and Basketter, B.A. 2010. Local lymph node data for the evaluation of skin sensitisation alternatives: A second compilation. Dermatitis 21: 8-32.;20137736
Kimber, I., Basketter, D.A., Gerberick, G.F. and Dearman, R.J. 2002a. Allergic contact dermatitis. Int. Immunopharmacol. 2: 201-211.;11811925
Kimber, I., Basketter, D.A., Gerberick, G.F., Ryan, C.A. and Dearman, R.J. 2011. Chemical allergy: Translating biology into hazard characterization. Toxicol. Sci. 120(S1): S238-S268.;21097995
Kimber, I., Dearman, R.J., Basketter, D.A., Ryan, C.A. and Gerberick, G.F. 2002b. The local lymph node assay: past, present and future. Contact Dermatitis 47: 315-328.;12581276
Kotturi, M.F., Scott, I., Wolfe, T., Peters, B., Sidney, J., Cheroutre, H., et al. 2008. Naive precursor frequencies and MHC binding rather than the degree of epitope diversity shape CD8+ T cell immunodominance. J. Immunol. 181: 2124-2133.;18641351
Lambrechts, N., Vanheel, H., Hooyberghs, J. De Boever, P., Witters, H., Van Den Heuval, R., Van Tendeloom, V., Nelissen, I. and Schoeters, G. 2010a. Gene markers in dendritic cells unravel pieces of the skin sensitisation puzzle. Toxicol. Letters 196: 95-103.;20385217
Lambrechts, N., Vanheel, H., Nelissen, I., Witters, H., Van Den Heuval, R., Van Tendeloom, V., Schoeters, G. and Hooyberghs, J. 2010b. Assessment of chemical skin sensitizing potency by an in vitro assay bases on human dendritic cells. Toxicol. Sci. 116:122-129.;20375081
Lepoittevin, J.-P. 2006. Metabolism versus chemical transformation or pro-versus prehaptens? Contact Dermatitis 54: 73-74.;16487277
Lepoittevin, J.-P., Basketter, D.A., Goossens, A. and Karlberg, A.-T. (eds) 1998. Allergic contact dermatitis: the molecular basis. Springer, Berlin.;NOT_FOUND
"Magnusson, B. and Kligman, A.M. 1970. Allergic Contact Dermatitis in the Guinea Pig. Identification of Contact Allergens. Charles C Thomas, ; Springfield, IL USA.";NOT_FOUND
"Martin, S.F., Esser, P.R., Schmucker, S., Dietz, L., Naisbitt, D.J., Park, B.K., Vocanson, M., Nicolas, J.-F., Keller, M., Pichler, W.J., Peiser, M., Luch, A., Wanner, R., Maggi, E. Cavani, A., Rustemeyer, T., Richter, A., Thierse, H.-J. and Sallusto, F. 2010. T-cell recognition of chemical, protein allergens and drugs; toward the development of in vitro assays. Cell. Mol. Life Sci. 67: 4171-4184.";20717835
Martinon, F., Mayor, A. and Tschopp, J. 2009. The inflammasomes: guardians of the body. Ann. Rev. Immunol. 27: 229-265.;19302040
Maurer, T., Arthur, A. and Bentley, P. 1994. Guinea-pig contact sensitisation assays. Toxicology 93: 47-54.;7974504
Mekenyan,O., Patlewicz, G. Dimitrova,G. Kuseva,C Todorov M., Stoeva,S., Kotov,S. and Donner, E.M. 2010. Use of genotoxicity information in the development of integrated testing strategies (ITS) for skin sensitisation. Chem. Res. Toxicol. 23: 1519-1540.;20845941
Mitjans, M., Galbiati, V., Lucchi, L., Viviani, B., Marinovich, M., Galli, C.L. and Corsini, E. 2010. Use of IL-8 release and p38 MAPK activation in THP-1 cells to identify allergens and to assess their potency in vitro. Toxicol. In Vitro 24: 1803-1809.;20541004
Mitragotri, S., Anissimov, Y.G., Bunge, A.L., Frasch, H.F., Guy, R.H., Hadgraft, J., Kasting, G.B., Lane, M.E. and Roberts, M.S. 2011. Mathematical models of skin permeability: An overview. Int J Pharm. 418: 115-129.;21356301
McKim, J.M. Jr, Keller, D.J. III and Gorski, J.R. 2010. A new in vitro method for identifying chemical sensitizers combining peptide binding with ARE/EpRE-mediated gene expression in human skin cells. Cutan. Ocul. Toxicol. 29: 171-192.;20491607
McNamee, P.M., Api, A.M., Basketter, D.A., Gerberick, G.F., Gilpin, D.A., Hall, B.M., Jowsey, I. and Robinson, M.K. 2008. A review of critical factors in the conduct and interpretation of the human repeat insult patch test. Reg. Toxicol. Pharmacol. 52: 24-34.;18639964
Miyazawa, M. Ito, Y., Kosaka, N., Nukada, Y., Sakaguchi, H., Suzuki, H., and Nishiyama, N. 2008a. Role of MAPK signalling pathway in the activation of dendritic type cell line, THP-1, induced by DNBC and NiSO4. Toxicol. Sci. 33: 51-59.;18303184
Miyazawa, M., Ito, Y., Kosaka, N., Nukada, Y., Sakaguchi, H., Suzuki, H., and Nishiyama, N. 2008b. Role of TNF-alpha and extracellular ATP in THP-1, cell activation following allergen exposure. Toxicol. Sci. 33: 51-59.;18303186
Migdal, C., Tailhardat, M., Courtellemont, P., Haftek, M. and Serres, M. 2010. Responsiveness of human monocyte-derived dendritic cells to thimerosal and mercury derivatives. Toxicol. Appl. Pharmacol. 246: 66-73.;20417223
Natsch, A. 2010. The Nrf2-Keap1-ARE toxicity pathway as a cellular sensor for skin sensitizers-functional relevance and a hypothesis on innate reactions to skin sensitizers. Toxicol. Sci. 113: 284-292.;19767620
Natsch, A., Bauch, C., Foertsch, L., Gerberick, F., Norman, K., Hilberer, A., Inglis, H., Landsiedel, R., Onken, S., Reuter, H., Schepky, A. and Emter, R. 2011. The intra- and inter-laboratory reproducibility and predictivity of the KeratinoSens assay to predict skin sensitizers in vitro: results of a ring-study in five laboratories. Toxicol. In Vitro 25: 733-44.;21195160
Natsch, A. and Emter, R. 2008. Skin sensitizers induce antioxidant response element dependent genes: Application to the in vitro testing of the sensitisation potential of chemicals. Toxicol. Sci. 102: 110-119.;17932397
Natsch, A., Emter, R. and Ellis, G. 2009. Filling the concept with data: Integrating data from different in vitro and in silico assays on skin sensitizers to explore the battery approach for animal-free skin sensitisation testing. Toxicol. Sci. 107: 106-121.;18832184
Natsch, A. and Gfeller, H. 2008. LC-MS-based characterization of the peptide reactivity of chemicals to improve the in vitro prediction of the skin sensitisation potential. Toxicol. Sci. 106: 464-478.;18791182
Natsch, A., Gfeller, H., Rothaupt, M. and Ellis, G. 2007. Utility and limitations of a peptide reactivity assay to predict fragrance allergens in vitro. Toxicol. In Vitro 21: 1220-1226.;17513083
Organization for Economic Co-operation and Development (OECD) 1992. Test No. 406: Skin Sensitisation, OECD Guidelines for the Testing of Chemicals, Section 4: Health Effects, OECD Publishing. doi: 10.1787/9789264070660-en;NOT_FOUND
OECD 2004a. Test No. 427: Skin Absorption: In Vivo Method, OECD Guidelines for the Testing of Chemicals, Section 4: Health Effects, OECD Publishing. doi: 10.1787/9789264071063-en;NOT_FOUND
OECD 2004b. Test No. 428: Skin Absorption: In Vitro Method, OECD Guidelines for the Testing of Chemicals, Section 4: Health Effects, OECD Publishing. doi: 10.1787/9789264071087-en;NOT_FOUND
OECD 2007. OECD Guidance on grouping chemicals. OECD Environment, Health and Safety Publications Series on Testing and Assessment No. 80. ENV/JM/MONO(2007)28.;NOT_FOUND
OECD 2010a. Test No. 429: Skin Sensitisation: Local Lymph Node Assay, OECD Guidelines for the Testing of Chemicals, Section 4: Health Effects, OECD Publishing. doi: 10.1787/9789264071100-en;NOT_FOUND
OECD 2010b. Test No. 442A: Skin Sensitisation: Local Lymph Node Assay: DA, OECD Guidelines for the Testing of Chemicals, Section 4: Health Effects, OECD Publishing. doi: 10.1787/9789264090972-en;NOT_FOUND
OECD 2010c. Test No. 442B: Skin Sensitisation: Local Lymph Node Assay: BrdU-ELISA, OECD Guidelines for the Testing of Chemicals, Section 4: Health Effects, OECD Publishing. doi:10.1787/9789264090996-en;NOT_FOUND
OECD 2011a. Report of the Workshop on Using Mechanistic Information in Forming Chemical Categories. OECD Environment, Health and Safety Publications Series on Testing and Assessment No. 138. ENV/JM/MONO(2011)8.;NOT_FOUND
OECD 2011b. Report of the Expert Consultation on Scientific and Regulatory Evaluation of Organic Chemistry-based Structural Alerts for the Identification of Protein-binding Chemicals. OECD Environment, Health and Safety Publications Series on Testing and Assessment No. 139. ENV/JM/MONO(2011)9.;NOT_FOUND
Ouwehand, K., Santegoets, S.J.A.M., Bruynzeel, D.P., Scheper, R.J., de Gruijl, T.D. and Gibbs, S. 2008. CXCL12 is essential for migration of activated Langerhans cells for epidermis to dermis. Eur. J. Immunol. 38: 3050-3059.;18924211
Ovigne, J.M., Martinozzi-Teissier, S., Verda, D., Abdou, D., Piroird, C., Ade, N. and Rousset, F. 2008. The MUSST for in vitro skin sensitisation prediction: Applicability domains and complementary protocols to adapt to the physico-chemical diversity of chemicals. Toxicology Letters, 180: Supplement 1, 5, S216.;18573318
Patlewicz, G., Dimitrov, S. D., Low, L.K., Kern, P.S., Dimitrova, G.D., Comber, M.I H., Aptula, A O., Phillips, R.D., Niemelä, J., Madsen, C., Wedebye, E.B., Roberts, D.W., Bailey, P.T. and Mekenyan, O.G. 2007. Time SS- A promising tool for the assessemnt of skin sensitisation hazard. A characterization with respect to the OECD Validation Principles for (Q)SARs. Regul. Toxicol. Pharmacol. 48: 225-239.;17713962
Python, F., Goebel, C., and Aeby, P. 2007. Assessment of the U937 cell line for detection of contact allergens. Toxicol. Appl. Pharmacol. 220: 113-124.;17306317
Rivere, J.E. (ed.) 2006. Dermal Absorption Models in Toxicology and Pharmacology. CRC Taylor & Francis, Boca Raton, FL, USA. p.374.;NOT_FOUND
Robinson, M.K., Gerberick, G.F., Ryan, C.A., McNamee, P., White, I. and Basketter, D.A. 2000. The importance of exposure estimation in the assessment of skin sensitisation risk. Contact Dermatitis 42: 251-259.;10789838
Roberts, D.W. and Aptula, A.O. 2008. Determinats of skin sensitisation potential. J. Appl. Toxicol. 28: 377-387.;17703504
Roberts, D.W., Aptula, A.O., Patlewicz, G. and Pease, C. 2008. Chemical reactivity indices and mechanism-based read-across for non-animal based assessment of skin sensitisation potential. J. Appl. Toxicol. 28: 443-454.;17703503
Roberts, D.W. and Natsch, A. 2009. High throughput kinetic profiling approach for covalent binding to peptides: Application to skin sensitisation potency of Michael acceptor electrophiles. Chem. Res. Toxicol. 22: 592-603.;19206519
Roberts, D.W., Patlewicz, G., Dimitrov, S. D., Low, L.K., Aptula, A O., Kern, P.S., Dimitrova, G.D., Comber, M.I H., Phillips, R.D., Niemelä, J., Madsen, C., Wedebye, E.B., Bailey, P.T. and Mekenyan, O.G. 2007. TIMES SS-A mechanistic evaluation of an exteranl validation study using reaction chemistry principles. Chem. Rev. Toxicol. 20: 2321-2330.;17713962
Roberts, D.W., Patlewicz, G., Kern, P.S., Gerberick, F., Kimber, I., Dearman, R.J., Ryan, C.A., Basketter, D.A. and Aptula, A.O. 2007. Mechanistic applicability domain classification of a local lymph node assay dataset for skin sensitisation. Chem. Res. Toxicol. 20: 1019-1030.;17555332
Ryan, C.A., Gerberick, G.F., Gildea, L.A. Hulette, B.C., Bettis, C.J., Cumberbatch, M., Dearman, R.J. and Kimber, I .2005. Interactions of contact allergens with dendritic cells: opportunities and challenges for the development of novel approaches to hazard assessment. Toxicol. Sci. 88: 4-11.;16014741
Ryan, C.A., Kimber, I., Basketter, D.A., Pallardy, M., Gildea, L.A. and Gerberick, G.F. 2007. Dendtitic cells and skin sensitisation. Biological roles and uses in hazard identification. Toxicol. Appl. Pharmacol. 221: 384-394.;17493650
Sakaguchi, H., Ashikaga, T., Miyazawa, M., Kosaka, N., Ito, Y., Yoneyama, K., Sono, S., Itagaki, H., Toyoda, H. and Suzuki, H. 2009. The relationship between CD86/CD54 expression and THP-1 cell viability in an in vitro skin sensitisation test-human cell line activation test (h-CLAT). Cell Biol. Toxicol. 25: 109-126.;18204907
Sakaguchi, H., Ryan, C., Ovigne, J.M., Schroeder, K.R. and Ashikaga, T. 2010. Predicting skin sensitisation potential and inter-laboratory reproducibility of a human Cell Line Activation Test (hCLAT) in the European Cosmetics Association (COLIPA) ring trials. Toxicol. In Vitro 24: 1810-1820.;20510347
Schmid, M., Reghavan, B., Müller, V., Vogel, T. Fejer, G., Tchapthet, S., Keck, S., Kalis, C., Nielson, P.J., Galanos, C., Roth, J., Skerra, A., Martin, S.F., Freudenberg, M.A. and Goebeler, M. 2010. Crucial role for human Toll-like receptor 4 in the development of contact allergy to nickel. Nat. Immunol. 11: 814-820.;20711192
Schultz, T.W., Rogers, K. and Aptula, A.O. 2009. Read-across to rank skin sensitisation potential: Subcategories for the Michael acceptor domain. Contact Dermatitis 60: 21-31.;19125718
Schultz, T.W., Yarbrough, J.W. and Woldemeskel, M. 2005. Toxicity to Tetrahymena and abiotic thiol reactivity of aromatic isothiocyanates. Cell Biol. Toxicol. 21: 181-189.;16328896
Schwöbel, J., Wondrousch, D., Koleva, Y.K., Madden, J.C. Cronin, M.T.D. and Schüürmann, G. 2010. Prediction of Michael type acceptor reactivity toward glutathione. Chem. Res. Toxicol. 23: 1576-1585.;20882991
Schwöbel, J.A.H., Koleva, Y.K., Bajot, F., Enoch, S.J., Hewitt, M., Madden, J.C., Roberts, D.W. Schultz, T.W. and Cronin, M.T.D. 2011. Measurement and estimation of electrophilic reactivity for predictive toxicology. Chem. Rev. 111: 2562-2596.;21401043
Smith, C. and Hotchkiss, S.A.M. 2001. Allergic Contact Dermatitis: Chemical and Metabolic Mechanisms. Informa Healthcare, London.;NOT_FOUND
Sutterwala, F.S., Ogura, Y., Szczepanik, M., Lara-Tejero, M., Lichtenberger, G.S., Grant, E.P., Bertin, J., Coyle, A.J., Galán, J.E., Askenase, P.W. and Flavell, R.A. 2006. Critical role for NALP3/CIAS1/Cryopyrin in innate and adaptive immunity through its regulation of caspase-1. Immunity 24: 317-327.;16546100
Trompezinski, S., Migdal, C., Tailhardat, M., Le Varlet, B., Courtellemont, P., Haftek, M. and Serres, M. 2008. Charaterization of early events involved in human dendritic cell maturation induced by sensitizers: cross talk between MAPK signalling pathways. Toxicol. Appl. Pharmacol. 230: 397-406.;18495191
Vandebriel, R.J. and van Loveren H. 2010. Non-animal sensitisation testing: State-of-the-art. Crit. Rev. Toxicol. 40: 389-404.;20180632
Vandebriel, R.J., Pennings, J.L., Baken, K.A., Pronk, T.E., Boorsma, A., Gottschalk, R., and Van Loveren, H. 2010. Keratinocyte gene expression profiles discriminate sensitizing and irritating compounds. Toxicol. Sci. 117: 81-89.;20566472
Van Och, F.M.M., Van Loveren, H., Van Wolfswinkel, J.C., Machielsen, A.J.C., Vandebriel, R.J. 2005. Assessment of potency of allergenic activity of low molecular weight compounds based on IL-1α and IL-18 production by a murine and human keratinocyte cell line. Toxicology 210: 95-109.;15840424
Vocanson, M., Cluzel-Tailhardat, M., Poyet, G., Valeyrie, M., Chavagnac, C., Levarlet, B. et al. 2008. Depletion of human peripheral blood lymphocytes in CD25+ cells allows for the sensitive in vitro screening of contact allergens. J. Invest. Dermatol. 128: 2119-2122.;18256693
Vocanson, M., Hennino, A., Rozieres, A., Poyet, G., Nicolas, J.F. 2009. Effector and regulatory mechanisms in allergic contact dermatitis. Allergy 64: 1699-1714.;19839974
Watanabe, H., Gaide, O., Pétrilli, V., Martinon, F., Contassot, E., Roques, S., Kummer, J.A., Tschopp, J. and French, L.E. 2007. Activation of the IL-1beta-processing inflammasome is involved in contact hypersensitivity. J. Invest. Dermatol. 127: 1956-1963.;17429439
Weltzien, H., Corsini, E., Gibbs, S., Lindstedt, M., Borrebaeck, C., Budde, P., Schulz-Knappe, P., Thierse, H.-J., Martin, S. and Roggen, E. 2009. Safe cosmetics without animal testing? Contributions of the EU Project Sens-it-iv. J. für Verbraucherschutz und Lebensmittelsicherheit. 4: 41-48.;NOT_FOUND
Wong, H.L. and Liebler, D.C. 2008. Mitochondrial protein targets of thiol-reactive electrophiles. Chem. Res. Toxicol. 21: 796-804.;18324786
Yarbrough, J.W. and Schultz, T.W. 2007. Abiotic sulfhydryl reactivity: A predictor of aquatic toxicity for carbonyl-containing α,β-unsaturated compounds. Chem. Res. Toxicol. 20: 558-562.;17319700
